chinese_title,english_title,author,repo_name,description,topics,category,category_topic,kindle_url,books_tw_url
The Richest Man in Babylon,The Richest Man in Babylon,George S. Clason,the-richest-man-in-babylon,The Richest Man in Babylon | George S. Clason | Timeless principles of wealth building through parables from ancient Babylon,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=The%20Richest%20Man%20in%20Babylon%20George%20Clason,https://www.books.com.tw/web/sys_serch/?item=The%20Richest%20Man%20in%20Babylon
讓人變有錢的36個微習慣,36 Micro-Habits for Wealth,未知,36-micro-habits-for-wealth,36 Micro-Habits for Wealth | Small daily habits that compound into significant wealth over time,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=%E8%AE%93%E4%BA%BA%E8%AE%8A%E6%9C%89%E9%8C%A236%E5%80%8B%E5%BE%AE%E7%BF%92%E6%85%A3,https://www.books.com.tw/web/sys_serch/?item=%E8%AE%93%E4%BA%BA%E8%AE%8A%E6%9C%89%E9%8C%A2%E7%9A%8436%E5%80%8B%E5%BE%AE%E7%BF%92%E6%85%A3
漫步華爾街,A Random Walk Down Wall Street,Burton G. Malkiel,a-random-walk-down-wall-street,A Random Walk Down Wall Street | Burton G. Malkiel | The time-tested strategy for successful investing through index funds,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=A%20Random%20Walk%20Down%20Wall%20Street%20Malkiel,https://www.books.com.tw/web/sys_serch/?item=%E6%BC%AB%E6%AD%A5%E8%8F%AF%E7%88%BE%E8%A1%97
雷浩斯教你6步驟存好股,6 Steps to Stock Investment,雷浩斯,6-steps-to-stock-investment,6 Steps to Stock Investment | 雷浩斯 | Systematic approach to value investing in Taiwan stock market,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=%E9%9B%B7%E6%B5%A9%E6%96%AF%206%E6%AD%A5%E9%A9%9F%E5%AD%98%E5%A5%BD%E8%82%A1,https://www.books.com.tw/web/sys_serch/?item=%E9%9B%B7%E6%B5%A9%E6%96%AF%E6%95%99%E4%BD%A06%E6%AD%A5%E9%A9%9F%E5%AD%98%E5%A5%BD%E8%82%A1
財務自由實踐版,Financial Freedom Action Guide,未知,financial-freedom-action-guide,Financial Freedom Action Guide | Practical steps to achieve financial independence and early retirement,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=%E8%B2%A1%E5%8B%99%E8%87%AA%E7%94%B1%E5%AF%A6%E8%B8%90%E7%89%88,https://www.books.com.tw/web/sys_serch/?item=%E8%B2%A1%E5%8B%99%E8%87%AA%E7%94%B1%E5%AF%A6%E8%B8%90%E7%89%88
雪球因子,The Snowball Effect,未知,the-snowball-effect,The Snowball Effect | Understanding compound growth and building wealth through long-term patient investing,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=%E9%9B%AA%E7%90%83%E5%9B%A0%E5%AD%90%20compound%20investing,https://www.books.com.tw/web/sys_serch/?item=%E9%9B%AA%E7%90%83%E5%9B%A0%E5%AD%90
致富心態,The Psychology of Money,Morgan Housel,the-psychology-of-money,The Psychology of Money | Morgan Housel | Timeless lessons on wealth greed and happiness through understanding money behavior,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=The%20Psychology%20of%20Money%20Morgan%20Housel,https://www.books.com.tw/web/sys_serch/?item=%E8%87%B4%E5%AF%8C%E5%BF%83%E6%85%8B
致富的答案,The Answer to Wealth,未知,the-answer-to-wealth,The Answer to Wealth | Discovering the principles and mindset needed to achieve lasting financial prosperity,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=%E8%87%B4%E5%AF%8C%E7%9A%84%E7%AD%94%E6%A1%88,https://www.books.com.tw/web/sys_serch/?item=%E8%87%B4%E5%AF%8C%E7%9A%84%E7%AD%94%E6%A1%88
耶魯最受歡迎的金融通識課,Financial Markets,Robert J. Shiller,financial-markets,Financial Markets | Robert J. Shiller | Yale's most popular course on understanding financial markets and institutions,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=Financial%20Markets%20Robert%20Shiller%20Yale,https://www.books.com.tw/web/sys_serch/?item=%E8%80%B6%E9%AD%AF%E6%9C%80%E5%8F%97%E6%AD%A1%E8%BF%8E%E7%9A%84%E9%87%91%E8%9E%8D%E9%80%9A%E8%AD%98%E8%AA%B2
"走過失業,我喜歡現在的人生",Beyond Unemployment Finding New Life,未知,beyond-unemployment-finding-new-life,Beyond Unemployment Finding New Life | Turning career setbacks into opportunities for personal growth and fulfillment,business-book-summary book-summary,財經企管,business-book-summary,https://www.amazon.com/s?k=%E8%B5%B0%E9%81%8E%E5%A4%B1%E6%A5%AD%E6%88%91%E5%96%9C%E6%AD%A1%E7%8F%BE%E5%9C%A8%E7%9A%84%E4%BA%BA%E7%94%9F,https://www.books.com.tw/web/sys_serch/?item=%E8%B5%B0%E9%81%8E%E5%A4%B1%E6%A5%AD%2C%E6%88%91%E5%96%9C%E6%AD%A1%E7%8F%BE%E5%9C%A8%E7%9A%84%E4%BA%BA%E7%94%9F
