chinese_title,english_title,author,repo_name,description,topics,category,category_topic,kindle_url,books_tw_url
選民進化論,The Evolution of Voters,未知,the-evolution-of-voters,The Evolution of Voters | Understanding how voters think and evolve in democratic societies through political psychology,democracy political-science voting-behavior civic-engagement society faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E9%81%B8%E6%B0%91%E9%80%B2%E5%8C%96%E8%AB%96,https://www.books.com.tw/web/sys_serch/?item=%E9%81%B8%E6%B0%91%E9%80%B2%E5%8C%96%E8%AB%96
擁抱B選項,Option B,"Sheryl Sandberg, Adam Grant",option-b,"Option B | Sheryl Sandberg, Adam Grant | Facing adversity building resilience and finding joy after life-changing hardships",resilience grief adversity recovery hope faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Option%20B%20Sheryl%20Sandberg,https://www.books.com.tw/web/sys_serch/?item=%E6%93%81%E6%8A%B1B%E9%81%B8%E9%A0%85
學會上桌,Show Your Work,Austin Kleon,show-your-work,Show Your Work | Austin Kleon | 10 ways to share your creativity and get discovered in the digital age,creativity sharing networking visibility career faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Show%20Your%20Work%20Austin%20Kleon,https://www.books.com.tw/web/sys_serch/?item=%E5%AD%B8%E6%9C%83%E4%B8%8A%E6%A1%8C
請問呂律師,Ask Attorney Lu,呂秋遠,ask-attorney-lu,Ask Attorney Lu | 呂秋遠 | Legal wisdom and life advice from a Taiwanese attorney on relationships and society,law legal-advice taiwanese-society life-lessons wisdom faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E8%AB%8B%E5%95%8F%E5%91%82%E5%BE%8B%E5%B8%AB%20%E5%91%82%E7%A7%8B%E9%81%A0,https://www.books.com.tw/web/sys_serch/?item=%E8%AB%8B%E5%95%8F%E5%91%82%E5%BE%8B%E5%B8%AB
窮查理的普通常識,Poor Charlie's Almanack,Charles T. Munger,poor-charlies-almanack,Poor Charlie's Almanack | Charles T. Munger | The wit and wisdom of Charles T. Munger through mental models and life principles,wisdom investing mental-models decision-making philosophy faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Poor%20Charlie%27s%20Almanack%20Munger,https://www.books.com.tw/web/sys_serch/?item=%E7%AA%AE%E6%9F%A5%E7%90%86%E7%9A%84%E6%99%AE%E9%80%9A%E5%B8%B8%E8%AD%98
窮忙:我們這樣的世代,The Working Poor,David K. Shipler,the-working-poor,The Working Poor | David K. Shipler | Invisible in America exploring the lives and struggles of the working poor,poverty social-issues economy inequality working-class faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=The%20Working%20Poor%20David%20Shipler,https://www.books.com.tw/web/sys_serch/?item=%E7%AA%AE%E5%BF%99%3A%E6%88%91%E5%80%91%E9%80%99%E6%A8%A3%E7%9A%84%E4%B8%96%E4%BB%A3
寫給每個人的社會學讀本,Sociology for Everyone,未知,sociology-for-everyone,Sociology for Everyone | An accessible introduction to sociology and understanding society through sociological thinking,sociology society social-analysis culture understanding faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E5%AF%AB%E7%B5%A6%E6%AF%8F%E5%80%8B%E4%BA%BA%E7%9A%84%E7%A4%BE%E6%9C%83%E5%AD%B8%E8%AE%80%E6%9C%AC,https://www.books.com.tw/web/sys_serch/?item=%E5%AF%AB%E7%B5%A6%E6%AF%8F%E5%80%8B%E4%BA%BA%E7%9A%84%E7%A4%BE%E6%9C%83%E5%AD%B8%E8%AE%80%E6%9C%AC
當呼吸化為空氣,When Breath Becomes Air,Paul Kalanithi,when-breath-becomes-air,When Breath Becomes Air | Paul Kalanithi | A neurosurgeon's profound reflections on life and death facing terminal illness,memoir mortality meaning medicine life-death faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=When%20Breath%20Becomes%20Air%20Paul%20Kalanithi,https://www.books.com.tw/web/sys_serch/?item=%E7%95%B6%E5%91%BC%E5%90%B8%E5%8C%96%E7%82%BA%E7%A9%BA%E6%B0%A3
黑道商學院,Mob Rules,Louis Ferrante,mob-rules,Mob Rules | Louis Ferrante | What the Mafia can teach the legitimate businessman about success and survival,business-lessons leadership strategy unconventional-wisdom survival faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Mob%20Rules%20Louis%20Ferrante,https://www.books.com.tw/web/sys_serch/?item=%E9%BB%91%E9%81%93%E5%95%86%E5%AD%B8%E9%99%A2
"這一生,你想留下什麼",What Will You Leave Behind,未知,what-will-you-leave-behind,What Will You Leave Behind | Reflecting on life's purpose and the meaningful legacy you want to create,legacy life-purpose meaning values contribution faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E9%80%99%E4%B8%80%E7%94%9F%E4%BD%A0%E6%83%B3%E7%95%99%E4%B8%8B%E4%BB%80%E9%BA%BC,https://www.books.com.tw/web/sys_serch/?item=%E9%80%99%E4%B8%80%E7%94%9F%2C%E4%BD%A0%E6%83%B3%E7%95%99%E4%B8%8B%E4%BB%80%E9%BA%BC
終結平庸,Beyond Mediocrity,未知,beyond-mediocrity,Beyond Mediocrity | Breaking free from average to achieve excellence and realize your full potential,excellence self-improvement achievement potential success faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E7%B5%82%E7%B5%90%E5%B9%B3%E5%BA%B8,https://www.books.com.tw/web/sys_serch/?item=%E7%B5%82%E7%B5%90%E5%B9%B3%E5%BA%B8
第二曲線,The Second Curve,Charles Handy,the-second-curve,The Second Curve | Charles Handy | Thoughts on reinventing society through understanding discontinuous change and renewal,innovation change growth transformation renewal faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=The%20Second%20Curve%20Charles%20Handy,https://www.books.com.tw/web/sys_serch/?item=%E7%AC%AC%E4%BA%8C%E6%9B%B2%E7%B7%9A
動機背後的隱藏邏輯,Drive,Daniel H. Pink,drive,Drive | Daniel H. Pink | The surprising truth about what motivates us through autonomy mastery and purpose,motivation psychology performance human-behavior intrinsic-motivation faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Drive%20Daniel%20Pink,https://www.books.com.tw/web/sys_serch/?item=%E5%8B%95%E6%A9%9F%E8%83%8C%E5%BE%8C%E7%9A%84%E9%9A%B1%E8%97%8F%E9%82%8F%E8%BC%AF
記得你是誰,Remember Who You Are,Daisy Wademan,remember-who-you-are,Remember Who You Are | Daisy Wademan | Life lessons from Harvard Business School on leadership and values,leadership values identity business-ethics life-lessons faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=Remember%20Who%20You%20Are%20Daisy%20Wademan,https://www.books.com.tw/web/sys_serch/?item=%E8%A8%98%E5%BE%97%E4%BD%A0%E6%98%AF%E8%AA%B0
"美國,再見?",Farewell America,未知,farewell-america,Farewell America | Critical analysis of America's challenges and potential futures in a changing world,america society politics future analysis faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E7%BE%8E%E5%9C%8B%E5%86%8D%E8%A6%8B,https://www.books.com.tw/web/sys_serch/?item=%E7%BE%8E%E5%9C%8B%2C%E5%86%8D%E8%A6%8B%3F
活出生命最好的可能,Living Your Best Life,未知,living-your-best-life,Living Your Best Life | Discovering and living your fullest potential through intentional choices and growth,life-fulfillment potential purpose happiness growth faith-book-summary book-summary,社會哲思,faith-book-summary,https://www.amazon.com/s?k=%E6%B4%BB%E5%87%BA%E7%94%9F%E5%91%BD%E6%9C%80%E5%A5%BD%E7%9A%84%E5%8F%AF%E8%83%BD,https://www.books.com.tw/web/sys_serch/?item=%E6%B4%BB%E5%87%BA%E7%94%9F%E5%91%BD%E6%9C%80%E5%A5%BD%E7%9A%84%E5%8F%AF%E8%83%BD
